Algorithm,ComparedAlgorithm,p,stat,StatisticalDifference,Mean,Stdv
maxTasksHalfThread.csv,maxTasksHalfThread.csv,1.0,480.5,False,4.67578,1.06416
maxTasksHalfThread.csv,maxTasksHalfThreadMinusOne.csv,2e-05,787.0,True,,
maxTasksHalfThread.csv,maxTasksHalfThreadMinusTwo.csv,0.0,91.0,True,,
maxTasksHalfThread.csv,maxTasksHalfThreadPlusOne.csv,0.30407,554.0,False,,
maxTasksHalfThread.csv,maxTasksHalfThreadPlusTwo.csv,0.04714,339.0,True,,
maxTasksHalfThread.csv,par_depth_max_depth9.csv,0.0,63.0,True,,
maxTasksHalfThread.csv,par_depth_max_depth10.csv,0.0,961.0,True,,
maxTasksHalfThread.csv,par_depth_max_depth11.csv,0.0,139.0,True,,
maxTasksHalfThread.csv,par_surplus2T.csv,0.73545,505.0,False,,
maxTasksHalfThread.csv,par_surplus3T.csv,1e-05,805.0,True,,
maxTasksHalfThread.csv,seq.csv,0.0,0.0,True,,
maxTasksHalfThreadMinusOne.csv,maxTasksHalfThread.csv,2e-05,174.0,True,,
maxTasksHalfThreadMinusOne.csv,maxTasksHalfThreadMinusOne.csv,1.0,480.5,False,4.17292,0.12421
maxTasksHalfThreadMinusOne.csv,maxTasksHalfThreadMinusTwo.csv,0.0,26.0,True,,
maxTasksHalfThreadMinusOne.csv,maxTasksHalfThreadPlusOne.csv,0.0,114.0,True,,
maxTasksHalfThreadMinusOne.csv,maxTasksHalfThreadPlusTwo.csv,0.0,60.0,True,,
maxTasksHalfThreadMinusOne.csv,par_depth_max_depth9.csv,0.0,0.0,True,,
maxTasksHalfThreadMinusOne.csv,par_depth_max_depth10.csv,0.0,961.0,True,,
maxTasksHalfThreadMinusOne.csv,par_depth_max_depth11.csv,0.0,0.0,True,,
maxTasksHalfThreadMinusOne.csv,par_surplus2T.csv,0.0,113.0,True,,
maxTasksHalfThreadMinusOne.csv,par_surplus3T.csv,0.39827,541.0,False,,
maxTasksHalfThreadMinusOne.csv,seq.csv,0.0,0.0,True,,
maxTasksHalfThreadMinusTwo.csv,maxTasksHalfThread.csv,0.0,870.0,True,,
maxTasksHalfThreadMinusTwo.csv,maxTasksHalfThreadMinusOne.csv,0.0,935.0,True,,
maxTasksHalfThreadMinusTwo.csv,maxTasksHalfThreadMinusTwo.csv,1.0,480.5,False,5.37437,0.26268
maxTasksHalfThreadMinusTwo.csv,maxTasksHalfThreadPlusOne.csv,0.0,930.0,True,,
maxTasksHalfThreadMinusTwo.csv,maxTasksHalfThreadPlusTwo.csv,0.0,900.0,True,,
maxTasksHalfThreadMinusTwo.csv,par_depth_max_depth9.csv,0.0,924.0,True,,
maxTasksHalfThreadMinusTwo.csv,par_depth_max_depth10.csv,0.0,961.0,True,,
maxTasksHalfThreadMinusTwo.csv,par_depth_max_depth11.csv,0.0,900.0,True,,
maxTasksHalfThreadMinusTwo.csv,par_surplus2T.csv,0.0,900.0,True,,
maxTasksHalfThreadMinusTwo.csv,par_surplus3T.csv,0.0,903.0,True,,
maxTasksHalfThreadMinusTwo.csv,seq.csv,0.0,0.0,True,,
maxTasksHalfThreadPlusOne.csv,maxTasksHalfThread.csv,0.30407,407.0,False,,
maxTasksHalfThreadPlusOne.csv,maxTasksHalfThreadMinusOne.csv,0.0,847.0,True,,
maxTasksHalfThreadPlusOne.csv,maxTasksHalfThreadMinusTwo.csv,0.0,31.0,True,,
maxTasksHalfThreadPlusOne.csv,maxTasksHalfThreadPlusOne.csv,1.0,480.5,False,4.37643,0.14186
maxTasksHalfThreadPlusOne.csv,maxTasksHalfThreadPlusTwo.csv,0.00027,221.0,True,,
maxTasksHalfThreadPlusOne.csv,par_depth_max_depth9.csv,0.0,1.0,True,,
maxTasksHalfThreadPlusOne.csv,par_depth_max_depth10.csv,0.0,961.0,True,,
maxTasksHalfThreadPlusOne.csv,par_depth_max_depth11.csv,0.0,41.0,True,,
maxTasksHalfThreadPlusOne.csv,par_surplus2T.csv,0.70386,453.0,False,,
maxTasksHalfThreadPlusOne.csv,par_surplus3T.csv,0.0,860.0,True,,
maxTasksHalfThreadPlusOne.csv,seq.csv,0.0,0.0,True,,
maxTasksHalfThreadPlusTwo.csv,maxTasksHalfThread.csv,0.04714,622.0,True,,
maxTasksHalfThreadPlusTwo.csv,maxTasksHalfThreadMinusOne.csv,0.0,901.0,True,,
maxTasksHalfThreadPlusTwo.csv,maxTasksHalfThreadMinusTwo.csv,0.0,61.0,True,,
maxTasksHalfThreadPlusTwo.csv,maxTasksHalfThreadPlusOne.csv,0.00027,740.0,True,,
maxTasksHalfThreadPlusTwo.csv,maxTasksHalfThreadPlusTwo.csv,1.0,480.5,False,4.76917,1.46137
maxTasksHalfThreadPlusTwo.csv,par_depth_max_depth9.csv,0.0,33.0,True,,
maxTasksHalfThreadPlusTwo.csv,par_depth_max_depth10.csv,0.0,961.0,True,,
maxTasksHalfThreadPlusTwo.csv,par_depth_max_depth11.csv,0.0,154.0,True,,
maxTasksHalfThreadPlusTwo.csv,par_surplus2T.csv,0.00687,673.0,True,,
maxTasksHalfThreadPlusTwo.csv,par_surplus3T.csv,0.0,900.0,True,,
maxTasksHalfThreadPlusTwo.csv,seq.csv,0.0,0.0,True,,
par_depth_max_depth9.csv,maxTasksHalfThread.csv,0.0,898.0,True,,
par_depth_max_depth9.csv,maxTasksHalfThreadMinusOne.csv,0.0,961.0,True,,
par_depth_max_depth9.csv,maxTasksHalfThreadMinusTwo.csv,0.0,37.0,True,,
par_depth_max_depth9.csv,maxTasksHalfThreadPlusOne.csv,0.0,960.0,True,,
par_depth_max_depth9.csv,maxTasksHalfThreadPlusTwo.csv,0.0,928.0,True,,
par_depth_max_depth9.csv,par_depth_max_depth9.csv,1.0,480.5,False,5.15434,0.06935
par_depth_max_depth9.csv,par_depth_max_depth10.csv,0.0,961.0,True,,
par_depth_max_depth9.csv,par_depth_max_depth11.csv,0.0,915.0,True,,
par_depth_max_depth9.csv,par_surplus2T.csv,0.0,930.0,True,,
par_depth_max_depth9.csv,par_surplus3T.csv,0.0,930.0,True,,
par_depth_max_depth9.csv,seq.csv,0.0,0.0,True,,
par_depth_max_depth10.csv,maxTasksHalfThread.csv,0.0,0.0,True,,
par_depth_max_depth10.csv,maxTasksHalfThreadMinusOne.csv,0.0,0.0,True,,
par_depth_max_depth10.csv,maxTasksHalfThreadMinusTwo.csv,0.0,0.0,True,,
par_depth_max_depth10.csv,maxTasksHalfThreadPlusOne.csv,0.0,0.0,True,,
par_depth_max_depth10.csv,maxTasksHalfThreadPlusTwo.csv,0.0,0.0,True,,
par_depth_max_depth10.csv,par_depth_max_depth9.csv,0.0,0.0,True,,
par_depth_max_depth10.csv,par_depth_max_depth10.csv,1.0,480.5,False,3.42767,0.06547
par_depth_max_depth10.csv,par_depth_max_depth11.csv,0.0,0.0,True,,
par_depth_max_depth10.csv,par_surplus2T.csv,0.0,0.0,True,,
par_depth_max_depth10.csv,par_surplus3T.csv,0.0,0.0,True,,
par_depth_max_depth10.csv,seq.csv,0.0,0.0,True,,
par_depth_max_depth11.csv,maxTasksHalfThread.csv,0.0,822.0,True,,
par_depth_max_depth11.csv,maxTasksHalfThreadMinusOne.csv,0.0,961.0,True,,
par_depth_max_depth11.csv,maxTasksHalfThreadMinusTwo.csv,0.0,61.0,True,,
par_depth_max_depth11.csv,maxTasksHalfThreadPlusOne.csv,0.0,920.0,True,,
par_depth_max_depth11.csv,maxTasksHalfThreadPlusTwo.csv,0.0,807.0,True,,
par_depth_max_depth11.csv,par_depth_max_depth9.csv,0.0,46.0,True,,
par_depth_max_depth11.csv,par_depth_max_depth10.csv,0.0,961.0,True,,
par_depth_max_depth11.csv,par_depth_max_depth11.csv,1.0,480.5,False,5.10255,1.67143
par_depth_max_depth11.csv,par_surplus2T.csv,0.0,892.0,True,,
par_depth_max_depth11.csv,par_surplus3T.csv,0.0,927.0,True,,
par_depth_max_depth11.csv,seq.csv,0.0,0.0,True,,
par_surplus2T.csv,maxTasksHalfThread.csv,0.73545,456.0,False,,
par_surplus2T.csv,maxTasksHalfThreadMinusOne.csv,0.0,848.0,True,,
par_surplus2T.csv,maxTasksHalfThreadMinusTwo.csv,0.0,61.0,True,,
par_surplus2T.csv,maxTasksHalfThreadPlusOne.csv,0.70386,508.0,False,,
par_surplus2T.csv,maxTasksHalfThreadPlusTwo.csv,0.00687,288.0,True,,
par_surplus2T.csv,par_depth_max_depth9.csv,0.0,31.0,True,,
par_surplus2T.csv,par_depth_max_depth10.csv,0.0,961.0,True,,
par_surplus2T.csv,par_depth_max_depth11.csv,0.0,69.0,True,,
par_surplus2T.csv,par_surplus2T.csv,1.0,480.5,False,4.65939,1.48682
par_surplus2T.csv,par_surplus3T.csv,0.0,867.0,True,,
par_surplus2T.csv,seq.csv,0.0,0.0,True,,
par_surplus3T.csv,maxTasksHalfThread.csv,1e-05,156.0,True,,
par_surplus3T.csv,maxTasksHalfThreadMinusOne.csv,0.39827,420.0,False,,
par_surplus3T.csv,maxTasksHalfThreadMinusTwo.csv,0.0,58.0,True,,
par_surplus3T.csv,maxTasksHalfThreadPlusOne.csv,0.0,101.0,True,,
par_surplus3T.csv,maxTasksHalfThreadPlusTwo.csv,0.0,61.0,True,,
par_surplus3T.csv,par_depth_max_depth9.csv,0.0,31.0,True,,
par_surplus3T.csv,par_depth_max_depth10.csv,0.0,961.0,True,,
par_surplus3T.csv,par_depth_max_depth11.csv,0.0,34.0,True,,
par_surplus3T.csv,par_surplus2T.csv,0.0,94.0,True,,
par_surplus3T.csv,par_surplus3T.csv,1.0,480.5,False,4.43307,1.54406
par_surplus3T.csv,seq.csv,0.0,0.0,True,,
seq.csv,maxTasksHalfThread.csv,0.0,961.0,True,,
seq.csv,maxTasksHalfThreadMinusOne.csv,0.0,961.0,True,,
seq.csv,maxTasksHalfThreadMinusTwo.csv,0.0,961.0,True,,
seq.csv,maxTasksHalfThreadPlusOne.csv,0.0,961.0,True,,
seq.csv,maxTasksHalfThreadPlusTwo.csv,0.0,961.0,True,,
seq.csv,par_depth_max_depth9.csv,0.0,961.0,True,,
seq.csv,par_depth_max_depth10.csv,0.0,961.0,True,,
seq.csv,par_depth_max_depth11.csv,0.0,961.0,True,,
seq.csv,par_surplus2T.csv,0.0,961.0,True,,
seq.csv,par_surplus3T.csv,0.0,961.0,True,,
seq.csv,seq.csv,1.0,480.5,False,16.708,0.39847
